afra_compounds,canonical_smiles,mol,morgan_fp,Predicted_Probability,Predicted_Class,MW,LogP,HBD,HBA,Lipinski_Violations
Glucuronic acid,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d9a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c5f0>,1.0,1,194.13899999999998,-3.1290999999999984,5,6,0
Fucose,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d5b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c200>,1.0,1,164.157,-2.1938,4,5,0
Galacturonic acid,C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c2e0>,1.0,1,194.139,-3.2864999999999993,5,6,0
geraniol,CC(=CCC/C(=C/CO)/C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d700>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c350>,1.0,1,154.253,2.671400000000001,1,1,0
Glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c580>,1.0,1,180.156,-3.2213999999999987,5,6,0
isoamyl isovalerate,CC(C)CCOC(=O)CC(C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25daf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c740>,1.0,1,172.26799999999997,2.6218000000000012,0,2,0
Isononadecano,CC(C)CCCCCCCCCCCCCCCC(=O)[O-]  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25db60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c7b0>,1.0,1,297.50299999999993,5.243800000000005,0,2,1
lavandulol,CC(=CC[C@@H](CO)C(=C)C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25dc40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c890>,1.0,1,154.253,2.5273000000000003,1,1,0
linalool,CC(=CCCC(C)(C=C)O)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25dd20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c970>,1.0,1,154.25300000000001,2.6698000000000013,1,1,0
linalool acetate,CC(=CCCC(C)(C=C)OC(=O)C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25dd90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c9e0>,1.0,1,196.29,3.2406000000000024,0,2,0
Mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25de00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9ca50>,1.0,1,180.156,-3.2213999999999987,5,6,0
artemisyl acetate,CC(=CC(C(C)(C)C=C)OC(=O)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd3300>,1.0,1,196.29,3.0965000000000016,0,2,0
artemisia ketone,CC(=CC(=O)C(C)(C)C=C)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c3c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd3290>,1.0,1,152.23699999999997,2.733900000000001,0,1,0
artemisia alcohol,CC(=CC(C(C)(C)C=C)OC(=O)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd3220>,1.0,1,196.29,3.0965000000000016,0,2,0
methyl linolenate,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x7a309a25dee0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9cb30>,1.0,1,292.46299999999997,5.748900000000005,0,2,1
myrcene,CC(=CCCC(=C)C=C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25df50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9cba0>,1.0,1,136.238,3.4750000000000023,0,0,0
octadecanol,CCCCCCCCCCCCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x7a309a25e0a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9ccf0>,1.0,1,270.50099999999986,6.240200000000008,1,1,1
Rhamnose,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25e6c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d310>,1.0,1,164.157,-2.1938,4,5,0
santolina alcohol,CC(=CC(C=C)C(C)(C)O)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25e960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d5b0>,1.0,1,154.25300000000001,2.5257000000000005,1,1,0
santolina triene,CC(=CC(C=C)C(=C)C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25e9d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d620>,1.0,1,136.238,3.3309000000000015,0,0,0
santolinyl acetate,CC(=CC(C=C)C(C)(C)OC(=O)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25ea40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d690>,1.0,1,196.29,3.0965000000000016,0,2,0
4-O-Methylglucuronic acid,CO[C@@H]([C@@H]([C@H](C=O)O)O)[C@@H](C(=O)O)O ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2e30>,1.0,1,208.166,-2.6323999999999983,4,6,0
tricosane,CCCCCCCCCCCCCCCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f140>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9dd90>,1.0,1,324.63700000000006,9.218300000000001,0,0,1
2-methyl butyl isovalerate,CCC(C)COC(=O)CC(C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c740>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2d50>,1.0,1,172.26799999999997,2.6218000000000012,0,2,0
yomogi alcohol,CC(C)(C=C)/C=C/C(C)(C)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f300>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9df50>,1.0,1,154.253,2.525700000000001,1,1,0
1-octen-3-ol,CCCCCC(C=C)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c6d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2b90>,1.0,1,128.21499999999997,2.1136000000000004,1,1,0
1-Octacosanol,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c660>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2c00>,1.0,1,410.7710000000003,10.141199999999994,1,1,1
Galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d620>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c270>,1.0,1,180.156,-3.2213999999999987,5,6,0
