afra_compounds,canonical_smiles,mol,morgan_fp,Predicted_Probability,Predicted_Class,MW,LogP,HBD,HBA,Lipinski_Violations
Glucuronic acid,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d9a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c5f0>,1,1,194.139,-3.1291,5,6,0
Fucose,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d5b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c200>,1,1,164.157,-2.1938,4,5,0
Galacturonic acid,C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c2e0>,1,1,194.139,-3.2865,5,6,0
geraniol,CC(=CCC/C(=C/CO)/C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d700>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c350>,1,1,154.253,2.6714,1,1,0
Glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d930>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c580>,1,1,180.156,-3.2214,5,6,0
isoamyl isovalerate,CC(C)CCOC(=O)CC(C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25daf0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c740>,1,1,172.268,2.6218,0,2,0
lavandulol,CC(=CC[C@@H](CO)C(=C)C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25dc40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c890>,1,1,154.253,2.5273,1,1,0
linalool,CC(=CCCC(C)(C=C)O)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25dd20>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c970>,1,1,154.253,2.6698,1,1,0
linalool acetate,CC(=CCCC(C)(C=C)OC(=O)C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25dd90>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c9e0>,1,1,196.29,3.2406,0,2,0
Mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25de00>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9ca50>,1,1,180.156,-3.2214,5,6,0
artemisyl acetate,CC(=CC(C(C)(C)C=C)OC(=O)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c430>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd3300>,1,1,196.29,3.0965,0,2,0
artemisia ketone,CC(=CC(=O)C(C)(C)C=C)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c3c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd3290>,1,1,152.237,2.7339,0,1,0
"3,3,6-Trimethyl-1,5-heptadien-4-ol",CC(=CC(C(C)(C)C=C)OC(=O)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd3220>,1,1,196.29,3.0965,0,2,0
myrcene,CC(=CCCC(=C)C=C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25df50>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9cba0>,1,1,136.238,3.475,0,0,0
Rhamnose,C[C@H]1[C@@H]([C@H]([C@H](C(O1)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25e6c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d310>,1,1,164.157,-2.1938,4,5,0
"3-Ethenyl-2,5-dimethyl-4-hexen-2-ol",CC(=CC(C=C)C(C)(C)O)C ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25e960>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d5b0>,1,1,154.253,2.5257,1,1,0
santolina triene,CC(=CC(C=C)C(=C)C)C  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25e9d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d620>,1,1,136.238,3.3309,0,0,0
santolinyl acetate,CC(=CC(C=C)C(C)(C)OC(=O)C)C,<rdkit.Chem.rdchem.Mol object at 0x7a309a25ea40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9d690>,1,1,196.29,3.0965,0,2,0
4-O-Methylglucuronic acid,CO[C@@H]([C@@H]([C@H](C=O)O)O)[C@@H](C(=O)O)O ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c7b0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2e30>,1,1,208.166,-2.6324,4,6,0
yomogi alcohol,CC(C)(C=C)/C=C/C(C)(C)O  ,<rdkit.Chem.rdchem.Mol object at 0x7a309a25f300>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9df50>,1,1,154.253,2.5257,1,1,0
1-octen-3-ol,CCCCCC(C=C)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25c6d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a3053cd2b90>,1,1,128.215,2.1136,1,1,0
Galactose,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O,<rdkit.Chem.rdchem.Mol object at 0x7a309a25d620>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7a309ab9c270>,1,1,180.156,-3.2214,5,6,0
